Product Name,Reason
Pearl Paper Greeting Cards,Subcategory 'Specialty Greeting Cards' not found
Kraft Paper Greeting Cards,Subcategory 'Specialty Greeting Cards' not found
Greeting Cards 14pt + AQ,Product name 'Greeting Cards 14pt + AQ' did not match products in 'Greeting Cards'
Greeting Cards 14pt + UV (High Gloss),Product name 'Greeting Cards 14pt + UV (High Gloss)' did not match products in 'Greeting Cards'
Greeting Cards 14pt + Matte Finish,Product name 'Greeting Cards 14pt + Matte Finish' did not match products in 'Greeting Cards'
Greeting Cards 14pt Writable + AQ (C1S),Product name 'Greeting Cards 14pt Writable + AQ (C1S)' did not match products in 'Greeting Cards'
Greeting Cards 14pt Writable + UV (C1S),Product name 'Greeting Cards 14pt Writable + UV (C1S)' did not match products in 'Greeting Cards'
Greeting Cards 13pt Enviro Uncoated,Product name 'Greeting Cards 13pt Enviro Uncoated' did not match products in 'Greeting Cards'
Invitations 14pt + Matte Finish,Subcategory 'Invitations' not found
Invitations 14pt Writable + AQ (C1S),Subcategory 'Invitations' not found
Invitations 14pt + AQ,Subcategory 'Invitations' not found
Invitations 14pt + UV (High Gloss),Subcategory 'Invitations' not found
Pearl Paperl Invitations,Subcategory 'Invitations' not found
Metallic Foil Invitations,Subcategory 'Invitations' not found
Large Format Posters 8pt C2S,Product name 'Large Format Posters 8pt C2S' did not match products in 'Large Format Posters'
Posters 100LB Gloss Text,Product name 'Posters 100LB Gloss Text' did not match products in 'Posters'
Posters 100LB + Matte Finish,Product name 'Posters 100LB + Matte Finish' did not match products in 'Posters'
Posters 100LB + UV (High Gloss),Product name 'Posters 100LB + UV (High Gloss)' did not match products in 'Posters'
Posters 80LB Enviro Uncoated,Product name 'Posters 80LB Enviro Uncoated' did not match products in 'Posters'
Digital Sheets 14pt + Matte Finish,Product name 'Digital Sheets 14pt + Matte Finish' did not match products in 'Digital Sheets'
Digital Sheets 13pt Enviro Uncoated,Product name 'Digital Sheets 13pt Enviro Uncoated' did not match products in 'Digital Sheets'
Digital Sheets 100lb Gloss Text,Product name 'Digital Sheets 100lb Gloss Text' did not match products in 'Digital Sheets'
Digital Sheets 100lb + Matte Finish,Product name 'Digital Sheets 100lb + Matte Finish' did not match products in 'Digital Sheets'
Digital Sheets 80lb Enviro Uncoated,Product name 'Digital Sheets 80lb Enviro Uncoated' did not match products in 'Digital Sheets'
Tear Cards 14PT + UV,Product name 'Tear Cards 14PT + UV' did not match products in 'Tear Cards'
Tear Cards 14PT + Matte Finish,Product name 'Tear Cards 14PT + Matte Finish' did not match products in 'Tear Cards'
Tear Cards 13PT + Enviro Uncoated,Product name 'Tear Cards 13PT + Enviro Uncoated' did not match products in 'Tear Cards'
Car Magnets (30mil),"DB error: invalid input syntax for type integer: ""Car Magnets""
LINE 4: ...UES ('Car Magnets (30mil)', NULL, 'Large Format', 'Car Magne...
                                                             ^
"
Magnets 14PT,Product name 'Magnets 14PT' did not match products in 'Magnets'
Cut to Shape Magnets (30mil),"DB error: invalid input syntax for type integer: ""Magnets""
LINE 4: ...o Shape Magnets (30mil)', NULL, 'Print Products', 'Magnets',...
                                                             ^
"
Cut to Shape Magnets (20mil),"DB error: invalid input syntax for type integer: ""Magnets""
LINE 4: ...o Shape Magnets (20mil)', NULL, 'Print Products', 'Magnets',...
                                                             ^
"
Plastic 14PT,Product name 'Plastic 14PT' did not match products in 'Plastics'
Tent Cards 14PT + Matte Finish,Product name 'Tent Cards 14PT + Matte Finish' did not match products in 'Tent Cards'
Booklets 80lb Gloss Text (8.5 x 5.5),Subcategory 'Booklets' not found
