cloudflare_id,filename,matched_sku,product_id
d213fe88-65e1-4814-d549-01f0b7cbae00,custom_apparel.jpeg,clings_transparent,77.0
069fd024-4097-4b06-99e5-9656ec5fb600,promo-group-2.png,,
0102573e-1ef9-4252-6bd6-0d9300d06b00,promo-group-1.png,,
2de59e99-69b3-4943-5291-b26c5e03ef00,promo-group-4.webp,,
0fb1e21b-a3ad-4b1a-dcda-431ff3d46a00,promo-group-3.webp,,
140ada96-a76d-4aba-d5a1-4bef7b3f8b00,x-frame-banners-13oz-matte-vinyl_2.jpg,xframe_13oz_matte,111.0
81d01ba0-c56e-4446-1a74-92f419067e00,x-frame-banners-13oz-matte-vinyl_1.jpg,xframe_13oz_matte,111.0
525df64c-a2f1-4bc2-8777-2c6088c45100,window-perforated-vinyl_2.webp,window_perforated_vinyl,206.0
c368936a-6e86-4215-40de-4d25cc97fb00,window-perforated-vinyl_1.jpg,window_perforated_vinyl,206.0
bd3e3239-f9f7-46bf-b29e-2503368a6c00,willowpack-roll-labels_1.webp,willow_labels,16930.0
a1e8beae-3768-443d-1934-7eba797fd000,wall-calendars-80lb-gloss-text_1.webp,digitalsheets-100lb-gloss-text,139.0
28750cd8-7d78-43cf-832c-0361c8628500,wall-calendars-100lb-gloss-text_2.webp,digitalsheets-100lb-gloss-text,139.0
38bbb570-dfd9-4c83-a679-20d06d488d00,wall-calendars-100lb-gloss-text_1.webp,digitalsheets-100lb-gloss-text,139.0
eefdf437-bed3-4468-f228-97e6f4ed0000,variable-printing-14pt_1.jpg,variableprinting_14pt,127.0
3e00fc51-da5c-4504-625c-9e4684da1b00,uncoated-rack-cards_1.png,calendars_100lb,64.0
54b0f83b-f27d-45bd-fa21-a85d0589f000,unaddressed-postcard_1.png,unaddressed-postcard,147.0
f721662d-f8f9-49a9-e78f-eb933a8ecd00,ultra-smooth-business-cards_1.webp,ultra-smooth-business-cards,15022.0
b5809a56-e2bb-4d9a-2343-65951050be00,tent-cards-14pt-matte-finish_4.webp,tentcards_14pt_matte_finish,4902.0
add341d4-ecf2-413c-88e6-8403af194400,tent-cards-14pt-matte-finish_3.webp,tentcards_14pt_matte_finish,4902.0
4caebfdf-6d58-4a3f-027f-b1e1f3860e00,tent-cards-14pt-matte-finish_2.webp,tentcards_14pt_matte_finish,4902.0
d5257674-5e45-48be-6a5a-07d53a080a00,tent-cards-14pt-matte-finish_1.webp,tentcards_14pt_matte_finish,4902.0
549290e9-8025-4430-1175-eab53ec64e00,tent-cards-14pt-matte-finish_1.jpg,tentcards_14pt_matte_finish,4902.0
aea25408-e3d1-4c91-8854-20a6c6b2b100,tear-cards-14pt-uv_1.jpg,tearcards-14pt+uv,129.0
86533fbd-8284-4a27-79ff-cc3afc226b00,tear-cards-14pt-matte-finish_1.png,tentcards_14pt_matte_finish,4902.0
bb3203dd-ad43-4387-32c8-f0caaa4c8e00,table-top-pull-up-banner-13-oz-matte-vinyl_1.png,table_top_pull-up_banners,7547.0
41b95048-9100-44ec-28f9-549d6f1a7400,table-runner_1.png,table_top_pull-up_banners,7547.0
ce28b598-515c-4b12-b725-7756cfa05500,table-covers-8-ft-table_2.png,table-covers-8-ft-table,14988.0
3a8268bf-f509-44f3-370e-00dfd6b74d00,table-covers-8-ft-table_1.png,table-covers-8-ft-table,14988.0
dbe8f182-3f69-48f2-1adb-7633879d9700,table-covers-6-ft-table_2.png,table-covers-6-ft-table,14987.0
cd99eaa3-d29a-4491-27d5-1e11ff99ed00,table-covers-6-ft-table_1.png,table-covers-6-ft-table,14987.0
b88a362a-fb86-4f6c-6a1c-998039a8f500,supply-boxes_1.jpg,supplyboxes_office,120.0
100fce98-2272-456a-5e3b-699113cd8e00,standard-rack-cards_1.png,,
84e997f3-c805-4084-0613-36d82c599200,stand-up-pouch_1.png,,
887ba93e-5783-49c5-4ac1-36ccfb880100,spot-uv-greeting-cards_1.png,spot_uv_greeting_cards,7551.0
89e64543-8366-46ea-ce1a-d071ac92a000,soft-touch-business-cards_1.png,soft_touch_business_cards,7567.0
e24fd527-ea23-40dc-cc12-246be5087600,social-distancing-floor-stickers_1.png,social-distancing-floor-stickers,14672.0
6e1b979f-025d-4d18-da2d-05c73f4ec100,security-envelopes-60lb-uncoated_1.webp,security_envelopes,4165.0
ff85b54f-3848-4953-2bed-a4ef34d46900,removable-wall-decals-7-mil_4.jpg,removable-wall_decals_7_mil,7555.0
e1e50fc1-aa8e-45a9-1c81-2f0081795d00,removable-wall-decals-7-mil_3.png,removable-wall_decals_7_mil,7555.0
c2a0e0f8-f04c-4943-b3b2-e56f8fc68f00,removable-wall-decals-7-mil_2.jpg,removable-wall_decals_7_mil,7555.0
2a41b602-0408-4715-6d5b-a001aa265e00,removable-wall-decals-7-mil_1.jpg,removable-wall_decals_7_mil,7555.0
c2850467-0051-4673-2906-1dfbd0897b00,quick-ship-coroplast-signs_5.png,,
ad380970-3c76-4c7f-413e-d190e1dc3900,quick-ship-coroplast-signs_4.png,,
db01299f-d597-467b-3e14-c13276547600,quick-ship-coroplast-signs_3.png,,
c4b6ef9f-2538-4437-6b8c-3d44ddff9100,quick-ship-coroplast-signs_2.png,,
93d2a5e6-fe99-4c49-92de-cd3fdedf8700,quick-ship-coroplast-signs_1.png,,
