category_id,subcategory_id,name,image_name,image_url,cloudflare_image_id,image_found,cloudflare_image_url,matched_filename
1,1,standard_business_cards,business-cards-18pt-matte-silk-lamination_1.webp,,,no,,
4,37,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,,,no,,
7,101,letterhead,letterheads-60lb-uncoated_2.webp,,,no,,
4,6,cut_to_shape_magnets,cut-to-shape-magnets-30mil_2.webp,,,no,,
3,53,4mm_foam_board,4mm-foam-board_1.png,,,no,,
5,130,promotional_main,invitations-14pt-matte-finish_1.png,,,no,,
4,50,number_tickets,banners-13oz-glossy-vinyl_1.webp,,,no,,
4,6,cut_to_shape_magnets,cut-to-shape-magnets-20mil_1.webp,,,no,,
4,7,standard_flyers,flyers-100lb-uv-high-gloss_1.webp,,,no,,
4,16,standard_bookmark,bookmark-13pt-enviro-uncoated_2.webp,,,no,,
3,54,a_frame_signs,a-frame-signs-4mm-coroplast.jpg,,,no,,
4,17,specialty_bookmark,bookmark-18pt-matte-silk-lamination_1.webp,,,no,,
3,55,cut-to-shape-permanent-decals_1.webp,cut-to-shape-permanent-decals_1.webp,,,no,,
1,1,standard_business_cards,business-cards-14pt-profit-maximizer_1.webp,,,no,,
1,1,standard_business_cards,business-cards-14pt-writable-uv-c1s_1.webp,,,no,,
7,100,envelopes,envelopes-60lb-self-adhesive_1.webp,,,no,,
1,1,standard_business_cards,business-cards-16pt-aq_1.webp,,,no,,
4,16,specialty_bookmark,bookmark-18pt-matte-lam-spot-uv_1.webp,,,no,,
4,50,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,,,no,,
1,2,specialty_business-cards,durable-business-cards_1.webp,,,no,,
1,2,standard_postcards,metallic-foil-business-cards_1.webp,,,no,,
4,9,standard_greeting_cards,greeting-cards-14pt-aq_1.webp,,,no,,
4,9,standard_greeting_cards,greeting-cards-14pt-uv-high-gloss_1.webp,,,no,,
4,10,specialty_greeting_cards,kraft-paper-greeting-cards_3.webp,,,no,,
3,57,3mm-aluminum-signs_1,3mm-aluminum-signs_1.png,,,no,,
4,21,door_hangers,door-hangers-14pt-matte-finish_1.webp,,,no,,
3,59,car-magnets-30mil_2,car-magnets-30mil_2.webp,,,no,,
1,2,specialty_business-cards,die-cut-business-cards_3.webp,,,no,,
3,62,3mm-sintra,3mm-sintra_4.png,,,no,,
4,22,brochures,brochures-80lb-enviro-uncoated_1.png,,,no,,
3,55,Cut-to-shape-permanent-decals,cut-to-shape-permanent-decals_1.webp,,,no,,
3,63,floor_graphics,floor-graphics_1.png,,,no,,
4,25,magnets,magnets-14pt_1.webp,,,no,,
4,26,booklets,booklets-100lb-gloss-text-8-5-x-5-5_1.jpg,,,no,,
1,1,standard_business_cards,business-cards-16pt-matte-finish_1.png,,,no,,
4,26,booklets,booklets-60lb-offset-text-8-5-x-11_1.jpg,,,no,,
4,21,door_hangers,door-hangers-13pt-enviro-uncoated_1.png,,,no,,
4,12,specialty_postcards,durable-postcards_1.webp,,,no,,
2,121,packaging,lay-flat-pouch_1.png,,,no,,
4,26,booklets,booklets-80lb-silk-text-8-5-x-11_1.png,,,no,,
3,64,20pt_styrene,20pt-styrene_1.jpg,,,no,,
4,18,Standard-rack-cards,high-gloss-rack-cards_1.jpg,,,no,,
4,25,magnets,magnets-14pt_2.webp,,,no,,
4,12,specialty_postcards,kraft-paper-postcards_2.webp,,,no,,
4,2,specialty_business-cards,business-cards-13pt-linen-uncoated_1.webp,,,no,,
11,1,standard_business_cards,business-cards-18pt-matte-lam-spot-uv_1.webp,,,no,,
4,27,Digital-sheets,digital-sheets-14pt-matte-finish_1.jpg,,,no,,
3,60,coroplast,6mm-coroplast.png,,,no,,
