category_id,subcategory_id,name,image_name,cloudflare_id,product_id,matched_sku
1,1,standard_business_cards,business-cards-18pt-matte-silk-lamination_1.webp,0053681e-2792-4571-ef75-b844fd438400,9.0,businesscard_16pt_matte_silk_lamination
4,3,specialty_invitations,metallic-foil-invitations_1.webp,caa3a630-5829-45fa-823e-78ddf7a75a00,15011.0,metallic-foil-invitations
5,130,promotional_main,promo-group-1.png,0102573e-1ef9-4252-6bd6-0d9300d06b00,,
4,37,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,13501c1b-0fec-4518-ffb2-6d4b3958e000,7554.0,mesh_banners_8oz_polyester
4,5,wall_calendars,wall-calendars-100lb-gloss-text_2.webp,01109c36-2304-4a9b-5abe-b578bd213000,139.0,digitalsheets-100lb-gloss-text
7,101,letterhead,letterheads-60lb-uncoated_2.webp,3f91b67f-e173-4f85-029c-17e37d30c400,80.0,letterheads_60lb
4,6,cut_to_shape_magnets,cut-to-shape-magnets-30mil_2.webp,3a272009-bbbe-4818-2a2f-d700d0282500,14981.0,cut-to-shape-magnets-30mil
3,53,4mm_foam_board,4mm-foam-board_1.png,e02bbfd1-7096-4c3b-9c50-61b5a7d26100,100.0,4mm_foam
5,130,promotional_main,invitations-14pt-matte-finish_1.png,0530fc7a-8bd9-40b4-ba35-feacafc9e600,15005.0,invitations-14pt-matte-finish
5,130,promotional_main,promo-group-2.png,069fd024-4097-4b06-99e5-9656ec5fb600,,
4,50,number_tickets,banners-13oz-glossy-vinyl_1.webp,074bbe9f-3ae2-4b23-125f-eb2703903400,101.0,banners_13oz
4,6,cut_to_shape_magnets,cut-to-shape-magnets-20mil_1.webp,c52382bf-2dfc-4d8b-9d91-9db30e0b6500,14985.0,cut-to-shape-magnets-20mil
4,7,standard_flyers,flyers-100lb-uv-high-gloss_1.webp,ec9ed1ea-8488-469e-0136-cd32ff62a600,37.0,flyers_100lb_gloss
4,16,standard_bookmark,bookmark-13pt-enviro-uncoated_2.webp,08801307-2f47-4e24-ca5f-4ac581a5a900,132.0,tearcards-13pt+enviro-uncoated
1,2,specialty_business-cards,pearl-business-cards_1.webp,a221a984-a39c-44f5-940e-dd8634a25400,7334.0,pearl-business-cards
3,54,a_frame_signs,a-frame-signs-4mm-coroplast.jpg,db112b92-b7a1-461e-9697-33f9e299a700,97.0,4mm_coroplast
4,17,specialty_bookmark,bookmark-18pt-matte-silk-lamination_1.webp,0a4b40cb-16c3-4c82-28bf-f0b0e7066d00,9.0,businesscard_16pt_matte_silk_lamination
3,55,cut-to-shape-permanent-decals_1.webp,cut-to-shape-permanent-decals_1.webp,1cd233e9-63ad-4f3c-cc00-b51e5afecf00,14981.0,cut-to-shape-magnets-30mil
1,1,standard_business_cards,business-cards-14pt-profit-maximizer_1.webp,0d476f2c-b3fc-45d2-7e5a-7089bb3c6b00,1.0,businesscard_14pt_profit_maximizer
4,11,standard_postcards,postcards-14pt-aq_1.webp,c0fbf79d-de83-49ef-1605-a262bbe7d800,18.0,postcards14pt_aq
1,1,standard_business_cards,business-cards-14pt-writable-uv-c1s_1.webp,53fedea7-6e81-4874-938a-2a5311fc4a00,12.0,businesscard_14pt_writable_uv_c1s
7,100,envelopes,envelopes-60lb-self-adhesive_1.webp,4e6fa4fe-2579-40b9-db01-bb0555a3d400,5585.0,envelopes_60lb_self_adhesive
4,10,specialty_greeting_cards,spot-uv-greeting-cards_1.png,0fa33564-6097-4e89-7938-0bdd83171600,7551.0,spot_uv_greeting_cards
5,130,promotional_main,promo-group-3.webp,0fb1e21b-a3ad-4b1a-dcda-431ff3d46a00,,
7,100,envelopes,security-envelopes-60lb-uncoated_1.webp,0fd732f6-068b-4c18-7b57-6cc7d8522b00,4165.0,security_envelopes
4,18,Standard-rack-cards,standard-rack-cards_1.png,e254459d-35d4-448a-2777-8860defcf500,,
1,1,standard_business_cards,business-cards-16pt-aq_1.webp,1019de5d-9c19-4345-7449-b9b9c3764300,15.0,businesscard_16pt_aq
3,51,pull_up_banners,pull-up-banners-13oz-matte-vinyl-silverbase_1.png,12421810-8f0b-4505-b6c8-97f2499a2b00,15193.0,pullupbanner_13oz_v2
4,20,posters,posters-100lb-matte-finish_2.webp,1dd3f461-9d68-4b5a-3200-c5a3b3dfd400,66.0,posters_100lb_matteaq
4,16,specialty_bookmark,bookmark-18pt-matte-lam-spot-uv_1.webp,1280a8dd-eb36-43a0-dd2b-067c2fd21b00,5546.0,bookmark_16PT_matte_lam_spot_uv
4,50,number_tickets,mesh-banner-8oz-polyester-mesh_2.webp,13501c1b-0fec-4518-ffb2-6d4b3958e000,7554.0,mesh_banners_8oz_polyester
1,2,specialty_business-cards,durable-business-cards_1.webp,7709dc61-30dd-43e1-1bbb-95ccf140c300,7326.0,durable-business-cards
1,2,standard_postcards,metallic-foil-business-cards_1.webp,1405f0f3-6359-45dd-8017-8ac36a324800,7334.0,pearl-business-cards
3,52,x_frame_banners,x-frame-banners-13oz-matte-vinyl_2.jpg,ba3aa403-05fe-402f-700a-0456c7d3cd00,111.0,xframe_13oz_matte
4,9,standard_greeting_cards,greeting-cards-14pt-aq_1.webp,9a0b6cc1-dd20-4f8b-c704-722ec387db00,48.0,greetingcards_14pt_aq
