"id","sku","name","slugs (products)","canonical_uuid","Product (subcategory_id)","subcategory_id","name","slugs (subcategories)","canonical_uuid","Id (category)","name","slug","category_id","canonical_uuid","sort_order"
60,"presentationfolders_14pt_uv","Presentation Folders 14PT + UV (High Gloss)","presentation-folders-14pt-uv-high-gloss","e0279aa1-4195-4ac5-848f-fe9482864608",29,61,"removable_wall_decals","removable-wall-decals-61",,,,,,,
62,"magnets_14pt","Magnets 14PT","magnets-14pt","f8f5d229-b7ec-429f-9247-27437d3a1f01",26,62,"3mm-sintra","3mm-sintra-62",,,,,,,
63,"calendars_80lb","Wall Calendars 80LB Gloss Text","wall-calendars-80lb-gloss-text","81bc90d8-823a-43aa-8b44-116e3aa63e2b",5,63,"floor_graphics","floor-graphics-63",,,,,,,
64,"calendars_100lb","Wall Calendars 100LB Gloss Text","wall-calendars-100lb-gloss-text","05deb880-b9d2-4ae8-b4a7-779a7c7bdca2",5,64,"20pt_styrene","20pt-styrene-64",,,,,,,
65,"posters_100lb","Posters 100LB Gloss Text","posters-100lb-gloss-text","e7147ac4-da23-4708-bef6-3b913930d691",20,65,"glossy_adhesive_vinyl","glossy-adhesive-vinyl-65",,,,,,,
66,"posters_100lb_matteaq","Posters 100LB + Matte Finish","posters-100lb-matte-finish","73918017-f77e-42d7-8ac4-a3e99e35dd6a",20,66,"large-format-posters","large-format-posters-66",,,,,,,
67,"posters_100lb_uv","Posters 100LB + UV (High Gloss)","posters-100lb-uv-high-gloss","2bfde0a1-a3f0-45f4-abb7-04c2557a0aa7",20,67,"window_perforated_vinyl","window-perforated-vinyl-67",,,,,,,
68,"posters_80lb_enviro","Posters 80LB Enviro Uncoated","posters-80lb-enviro-uncoated","b964756c-f0b6-4406-8a6c-0141e578fa47",20,68,"h_stands","h-stands-68",,,,,,,
69,"doorhangers_14pt_aq","Door Hangers 14PT + AQ","door-hangers-14pt-aq","4e9e0ce1-3895-4178-ba91-fcd254aa58f2",21,69,"display_board_24pt","display-board-24pt-69",,,,,,,
70,"doorhangers_14pt_uv","Door Hangers 14PT + UV (High Gloss)","door-hangers-14pt-uv-high-gloss","1d87c281-fbf9-4fbe-81f7-e3502efb7071",21,70,"a_frame_stands","a-frame-stands-70",,,,,,,
71,"doorhangers_14pt_matteaq","Door Hangers 14PT + Matte Finish","door-hangers-14pt-matte-finish","974d958d-605c-429b-8764-952f24079296",21,100,"envelopes","envelopes-100",,,,,,,
72,"doorhangers_13pt_enviro","Door Hangers 13PT Enviro Uncoated","door-hangers-13pt-enviro-uncoated","fee308bb-520f-409f-a737-9c8302a720b6",21,101,"letterhead","letterhead-101",,,,,,,
75,"plastic_14pt","Plastic 14PT","plastic-14pt","128b06b1-28ea-4b6f-9767-58a13f6c24af",31,102,"ncr_forms","ncr-forms-102",,,,,,,
77,"clings_transparent","Clings Transparent","clings-transparent","9f176cba-309c-49d4-bd3b-6f5e8c4e7cc4",32,120,"roll_labels","roll-labels-120",,,,,,,
78,"clings_opaque","Clings Opaque","clings-opaque","1bc6688c-9b69-4ed2-b01f-0a30efee1239",33,121,"packaging","packaging-121",,,,,,,
80,"letterheads_60lb","Letterheads 60LB Uncoated","letterheads-60lb-uncoated","92b45eb9-0f9e-41f7-8c7d-853005ff0c0e",101,122,"stickers","stickers-122",,,,,,,
81,"envelopes_60lb","Envelopes 60LB Uncoated","envelopes-60lb-uncoated","94eaf77f-f0ab-46aa-8677-75427a38e111",100,128,"4mm_foam_board","4mm-foam-board-128",,,,,,,
82,"notepads_60lb_25pg","Notepads 60LB Uncoated (25 pages)","notepads-60lb-uncoated-25-pages","f47c38b4-597f-4dd1-a92b-539cc8d7ac83",36,130,"promotional_main","promotional-main-130",,,,,,,
83,"notepads_60lb_50pg","Notepads 60LB Uncoated (50 pages)","notepads-60lb-uncoated-50-pages","2ef5bd1e-5e85-460e-9df9-65ed3555acb1",35,150,"sample_pack","sample-pack-150",,,,,,,
96,"labels_60lb","60lb slit back label / Stickers","60lb-slit-back-label-stickers","d1363bb6-f976-4b94-a020-acb9aedd317b",120,151,"apparel","apparel-151",,,,,,,
97,"4mm_coroplast","4mm Coroplast (Yard Signs)","4mm-coroplast-yard-signs","7d02bdcb-aae1-4ef8-b028-f8ae2add27ea",60,,,,,,,,,,
98,"6mm_coroplast","6mm Coroplast","6mm-coroplast","6dbf244b-276e-458c-9ebb-dc4a899926e6",60,,,,,,,,,,
99,"8mm_coroplast","8mm Coroplast","8mm-coroplast","5f138351-2a5c-4f6a-b0cd-734fbb01706d",60,,,,,,,,,,
100,"4mm_foam","4mm Foam Board","4mm-foam-board","8bfdc176-efa5-4e58-b773-9664500544d1",128,,,,,,,,,,
101,"banners_13oz","Banners 13oz Glossy Vinyl","banners-13oz-glossy-vinyl","7873c667-ed91-43d5-8f20-0d8a0106bdbe",50,,,,,,,,,,
102,"banner_matte_13oz","Banners 13oz Matte Vinyl","banners-13oz-matte-vinyl","e6716f7d-e2b4-40ab-bdba-9752f45993f3",50,,,,,,,,,,
103,"pullupbanner_13oz","Pull Up Banners 13oz Matte Vinyl Silverbase","pull-up-banners-13oz-matte-vinyl-silverbase","e2e49414-01dc-4506-9945-fe1a0ec64187",51,,,,,,,,,,
104,"carmagnets_30mil","Car Magnets (30mil)","car-magnets-30mil","cd336370-fd44-4fb1-b710-6c34580b095b",59,,,,,,,,,,
105,"largeformatposters_8pt","Large Format Posters 8pt C2S","large-format-posters-8pt-c2s","ac144722-e81e-4c74-8841-344e288f0283",66,,,,,,,,,,
106,"styrene_20pt","20pt Styrene","20pt-styrene","ca9b804a-7057-4b5d-b1e2-e76c6f6fbaf2",64,,,,,,,,,,
107,"displayboard_24pt","Display Board 24PT","display-board-24pt","b190c37a-7a3f-45b0-9a14-4abc3267b021",69,,,,,,,,,,
108,"displayboard_40pt","Display Board 40PT","display-board-40pt","b4e90c99-5955-4da9-8da8-b684332169e7",69,,,,,,,,,,
109,"canvasroll","Canvas Roll","canvas-roll","7fb25875-2215-4ceb-b122-b7f2781c5067",30,,,,,,,,,,
110,"sintra_3mm","3mm Sintra","3mm-sintra","587d6286-8055-443c-9702-6ed18bbdb160",62,,,,,,,,,,
111,"xframe_13oz_matte","X-Frame Banners 13oz Matte Vinyl","x-frame-banners-13oz-matte-vinyl","e38d675c-7d5e-4a07-812c-cb23def58395",52,,,,,,,,,,
112,"aframe_4mm","A-Frame Signs 4mm Coroplast","a-frame-signs-4mm-coroplast","0ce3f1ec-ae20-41ca-93a6-6ff2080ac9ea",52,,,,,,,,,,
117,"numberedtickets_14pt","Numbered Tickets 14pt","numbered-tickets-14pt","4f89ca39-ae91-49f4-a305-7a8b8a7c01bb",37,,,,,,,,,,
120,"supplyboxes_office","Supply Boxes","supply-boxes","1681c1e8-8bff-44bd-9537-923a7c8c3752",,,,,,,,,,,
121,"hstand_office","H Stand ( for signs)","h-stand-for-signs","24dca32a-c7b5-4733-9c39-407a8d65067b",68,,,,,,,,,,
122,"aframestands_office","A Frame Stands","a-frame-stands","3275d24e-bc8c-4375-b6a8-c927c82ef9be",70,,,,,,,,,,
123,"samplekits_office","Profit Pak (Samples)","profit-pak-samples","ce770d8a-5178-4f20-8658-147e4c0f30db",150,,,,,,,,,,
124,"foldedbusinesscards_14pt+uv(highgloss)","Folded Business Card 14pt + UV (High Gloss)","folded-business-card-14pt-uv-high-gloss","ee6c5fae-c05e-4f4e-b7ee-d43a5a25bd8d",2,,,,,,,,,,
125,"foldedbusinesscards-14pt+matte/satin-aq","Folded Business Cards 14PT + Matte Finish","folded-business-cards-14pt-matte-finish","34df3662-5dc5-4aa1-b3ef-031f5e46bf44",2,,,,,,,,,,
126,"foldedbusinesscards-13pt-enviro-uncoated","Folded Business Cards 13PT Enviro Uncoated","folded-business-cards-13pt-enviro-uncoated","7b63d7f0-400a-48ef-9951-20f6d5ef248a",2,,,,,,,,,,
127,"variableprinting_14pt","Variable Printing 14PT","variable-printing-14pt","12eb2646-4b90-463a-8e1b-ce3ac11a8bc2",28,,,,,,,,,,
129,"tearcards-14pt+uv","Tear Cards 14PT + UV","tear-cards-14pt-uv","b2512037-9c88-4a90-85d5-4e346a3f53e3",,,,,,,,,,,
130,"tearcards-14pt+matte/satin-aq","Tear Cards 14PT + Matte Finish","tear-cards-14pt-matte-finish","8f86901c-9765-4649-bfbe-644bf31244cf",,,,,,,,,,,
132,"tearcards-13pt+enviro-uncoated","Tear Cards 13PT + Enviro Uncoated","tear-cards-13pt-enviro-uncoated","2104ea3c-b7a3-41cf-bfbc-0c57388c5e71",,,,,,,,,,,
137,"digitalsheets-14pt+matte/satin-aq","Digital Sheets 14pt + Matte Finish","digital-sheets-14pt-matte-finish","c823ffa7-92b5-4ce1-a873-7b99a02daa43",27,,,,,,,,,,
138,"digitalsheets-13pt-enviro-uncoated","Digital Sheets 13pt Enviro Uncoated","digital-sheets-13pt-enviro-uncoated","b7bbc806-7ee0-4228-9179-82940e55a7de",27,,,,,,,,,,
139,"digitalsheets-100lb-gloss-text","Digital Sheets 100lb Gloss Text","digital-sheets-100lb-gloss-text","d6566778-fb54-424c-ac2a-bebc46f0cfd3",27,,,,,,,,,,
141,"digitalsheets-100lb+matte-aq","Digital Sheets 100lb + Matte Finish","digital-sheets-100lb-matte-finish","0088fba4-8ce3-412e-96ca-bb1d8c82954b",27,,,,,,,,,,
142,"digitalsheets-80lb-enviro-uncoated ","Digital Sheets 80lb Enviro Uncoated ","digital-sheets-80lb-enviro-uncoated","5be255dd-0087-4cad-b6cb-071fb9e57dc3",27,,,,,,,,,,
147,"unaddressed-postcard","Unaddressed Postcard","unaddressed-postcard","b0b52f91-8158-43fa-8929-8f0394b33df9",15,,,,,,,,,,
148,"postcard-addressed-postage-included","Postcard Addressed-Postage Included","postcard-addressed-postage-included","5a32dc75-13af-4c7f-80f6-37a2401fdf97",14,,,,,,,,,,
149,"postcard-addressed-postage-due","Postcard Addressed-Postage Due","postcard-addressed-postage-due","37d92ca2-b4cb-4aa7-acc4-ffec053bbcfd",13,,,,,,,,,,
150,"postcard-enveloped-addressed-postage-included","Postcard Enveloped and Addressed-Postage Included","postcard-enveloped-and-addressed-postage-included","e034bf34-d165-4214-a8f9-e92f6a76c13d",14,,,,,,,,,,
151,"postcard-enveloped-addressed-postage-due","Postcard Enveloped and Addressed-Postage Due","postcard-enveloped-and-addressed-postage-due","96eb93b1-5f52-49af-8c09-7f530b8859cb",13,,,,,,,,,,
155,"brochure-enveloped-addressed-postage-due ","Brochure Enveloped and Addressed-Postage Due ","brochure-enveloped-and-addressed-postage-due","17bb1fe5-3e86-4293-86d8-31359e161182",23,,,,,,,,,,
156,"brochure-enveloped-addressed-postage-included  ","Brochure Enveloped and Addressed-Postage Included  ","brochure-enveloped-and-addressed-postage-included","78cc9c08-4995-453f-ac63-42b9c1f5efa5",24,,,,,,,,,,
163,"postcard_16PT_matte_lam_spot_uv","Postcard 18pt Matte Lam + SPOT UV","postcard-18pt-matte-lam-spot-uv","b6d89819-5c61-4f06-99c0-d8f5b49180b5",12,,,,,,,,,,
202,"premium_pullupbanner","Premium Pull Up Banners 13oz Matte Vinyl","premium-pull-up-banners-13oz-matte-vinyl","9a228b01-1c22-43f0-a26a-6fd7ab53e604",51,,,,,,,,,,
206,"window_perforated_vinyl","Window Perforated Vinyl","window-perforated-vinyl","efd0f72b-df77-4440-a34c-738ba6233b5c",67,,,,,,,,,,
4137,"presentation_folders_14pt_matte_lam","Presentation Folders Matte Laminated","presentation-folders-matte-laminated","2f9d526e-1cb3-423d-86c0-ddb0f8d00ead",26,,,,,,,,,,
4139,"glossy_adhesive_vinyl","Glossy Adhesive Vinyl","glossy-adhesive-vinyl","6353f682-fe82-4fe9-92ce-0ec0b3e6ebfd",65,,,,,,,,,,
4165,"security_envelopes","Security Envelopes 60LB Uncoated","security-envelopes-60lb-uncoated","1f082e01-d2b4-42fe-8a6c-6ecf47bbc905",100,,,,,,,,,,
4902,"tentcards_14pt_matte_finish","Tent Cards 14PT + Matte Finish","tent-cards-14pt-matte-finish","f522f6ef-d3a9-4bd5-9bbb-5215aedc6a1c",34,,,,,,,,,,
4904,"postcards_10pt_matte_finish","Postcards 10PT + Matte Finish","postcards-10pt-matte-finish","a9b5567d-e897-4a41-95d1-7e216b942bbc",11,,,,,,,,,,
5528,"bookmarks14pt_uv","Bookmark 14PT + UV","bookmark-14pt-uv","0bebc761-b07f-4ada-b9b3-b7071ffb69d7",16,,,,,,,,,,
5529,"bookmarks_14pt_matteaq","Bookmark 14PT + Matte Finish","bookmark-14pt-matte-finish","e2c7bb83-3dde-4e19-ae55-e02f3688c824",16,,,,,,,,,,
5530,"bookmarks_16pt_mattelam","Bookmark 18PT Matte / Silk Lamination","bookmark-18pt-matte-silk-lamination","9c5e66c4-caf1-4fec-a935-96648f39fed3",17,,,,,,,,,,
5531,"bookmarks_16pt_glosslam","Bookmark 18PT Gloss Lamination","bookmark-18pt-gloss-lamination","4465b368-5b11-4f8e-8853-938a07b456ae",17,,,,,,,,,,
5534,"bookmarks_14ptc1s_uv","Bookmark 14pt Writable + UV (C1S)","bookmark-14pt-writable-uv-c1s","c86fcb94-e8f2-44e1-8de5-f74a25979b58",17,,,,,,,,,,
5535,"bookmarks_13pt_enviro","Bookmark 13pt Enviro Uncoated","bookmark-13pt-enviro-uncoated","28f45409-220e-4954-a485-9d9f27b725ae",17,,,,,,,,,,
5537,"bookmarks_16pt_uv","Bookmark 16pt + UV","bookmark-16pt-uv","a8ca0d82-5ef1-4189-b2b9-c058b9b235db",16,,,,,,,,,,
5538,"bookmarks_16pt_matteaq","Bookmark 16pt + Matte Finish","bookmark-16pt-matte-finish","0550a967-0fc9-4be9-b5cc-ad1150a35feb",16,,,,,,,,,,
5539,"bookmarks_13pt_linen","Bookmark 13pt Linen Uncoated","bookmark-13pt-linen-uncoated","8629575e-b0ae-4b73-bfb1-fa63ff03af4a",17,,,,,,,,,,
5541,"bookmarks_10pt_matte_finish","Bookmark 10PT + Matte Finish","bookmark-10pt-matte-finish","72897e74-87c9-4c66-80fe-ee03169d3022",16,,,,,,,,,,
5546,"bookmark_16PT_matte_lam_spot_uv","Bookmark 18pt Matte Lam + SPOT UV","bookmark-18pt-matte-lam-spot-uv","7449535e-73f4-4fed-bb37-7891fe7c52d0",17,,,,,,,,,,
5547,"ncrform3part","NCR Forms 20lb Uncoated","ncr-forms-20lb-uncoated","08f10632-d0d6-4858-b745-e7ee55e40ef8",102,,,,,,,,,,
5557,"businesscards18ptc1s","Business Cards 18PT Writable (C1S)","business-cards-18pt-writable-c1s","2af6c9ae-3cbf-4b6b-a035-c6a1150914e2",2,,,,,,,,,,
5585,"envelopes_60lb_self_adhesive","Envelopes 60lb (Self-Adhesive)","envelopes-60lb-self-adhesive","1f10d537-08d3-4253-b88b-1e2438605c1a",100,,,,,,,,,,
7028,"bopp_labels","BOPP Roll Labels","bopp-roll-labels","9ce5b9a6-bb85-4e62-99db-bb020e034a7e",120,,,,,,,,,,
7029,"poly_labels","Poly Roll Labels","poly-roll-labels","63783472-04f6-413a-95f8-2920e57f09a9",120,,,,,,,,,,
7030,"paper_labels","Paper Roll Labels","paper-roll-labels","5a04a302-0fca-4117-bccb-ef16b4355d17",120,,,,,,,,,,
7324,"foil-gold-silver","Metallic Foil Business Cards","metallic-foil-business-cards","8d10504b-c56c-451a-9923-ceaa5017cfae",2,,,,,,,,,,
7326,"durable-business-cards","Durable Business Cards","durable-business-cards","59d370cc-7d9d-4e16-bad3-86f21d5e2649",2,,,,,,,,,,
7332,"kraft-business-cards","Kraft Business Cards","kraft-business-cards","c4c822ac-b16b-4e60-912f-743a724d02e1",2,,,,,,,,,,
7334,"pearl-business-cards","Pearl Business Cards","pearl-business-cards","1c0fa80e-a095-4a23-beb5-d78db7adbbc2",2,,,,,,,,,,
7543,"pearl_paper_postcards","Pearl Paper Postcards","pearl-paper-postcards","785ee053-4499-4e73-8ff0-b561be228261",12,,,,,,,,,,
7544,"kraft_paper_postcards","Kraft Paper Postcards","kraft-paper-postcards","22703a67-f1a3-4831-bde1-a46802541147",12,,,,,,,,,,
